timestamp,time,right_speed,color,reflection,speed,controller_type,left_speed,correction,integral_error,derivative_error,last_error,setpoint,distance,iteration
1761047738.136438,0.01543998718261719,203.24,None,8,140,PID,76.76000000000001,63.24,31,0,None,39,None,0
1761047738.344191,0.2395501136779785,108.12,None,37,140,PID,171.88,-31.88,33,0,None,39,None,1
1761047738.55547,0.4562911987304688,38.96000000000001,None,88,140,PID,241.04,-101.04,-16,0,None,39,None,2
1761047738.735309,0.6363110542297363,247.12,None,15,140,PID,32.88,107.12,8,0,None,39,None,3
1761047738.916556,0.8168480396270752,176.8,None,7,140,PID,103.2,36.80000000000001,40,0,None,39,None,4
1761047739.10599,1.006616115570068,48.12000000000001,None,66,140,PID,231.88,-91.88000000000001,13,0,None,39,None,5
1761047739.315287,1.216017007827759,79.08,None,85,140,PID,200.92,-60.92000000000001,-33,0,None,39,None,6
1761047739.492573,1.388822078704834,248.96,None,12,140,PID,31.04000000000001,108.96,-6,0,None,39,None,7
1761047739.672896,1.569804191589355,166.52,None,10,140,PID,113.48,26.52000000000001,23,0,None,39,None,8
1761047739.856705,1.756805181503296,51.03999999999999,None,66,140,PID,228.96,-88.96000000000001,-4,0,None,39,None,9
1761047740.056465,1.957298040390015,109.0,None,70,140,PID,171.0,-31.0,-35,0,None,39,None,10
1761047740.256596,2.157577037811279,92.15999999999999,None,80,140,PID,187.84,-47.84000000000001,-76,0,None,39,None,11
1761047740.437767,2.338572025299072,86.19999999999999,None,88,140,PID,193.8,-53.80000000000001,-125,0,None,39,None,12
1761047740.623392,2.518319129943848,246.84,None,13,140,PID,33.16,106.84,-99,0,None,39,None,13
1761047740.802647,2.697893142700195,145.64,None,19,140,PID,134.36,5.640000000000001,-79,0,None,39,None,14
1761047740.993213,2.888966083526611,43.48000000000001,None,73,140,PID,236.52,-96.52000000000001,-113,0,None,39,None,15
1761047741.184706,3.08089017868042,98.75999999999999,None,77,140,PID,181.24,-41.24000000000001,-151,0,None,39,None,16
1761047741.362224,3.257989168167114,106.12,None,75,140,PID,173.88,-33.88,-187,0,None,39,None,17
1761047741.545283,3.442689180374146,218.56,None,18,140,PID,61.44000000000002,78.55999999999999,-166,0,None,39,None,18
1761047741.732491,3.627658128738403,122.44,None,32,140,PID,157.56,-17.56,-159,0,None,39,None,19
1761047741.922891,3.819800138473511,66.08000000000001,None,68,140,PID,213.92,-73.92,-188,0,None,39,None,20
1761047742.111449,4.007896184921265,185.64,None,30,140,PID,94.36,45.64,-179,0,None,39,None,21
1761047742.316152,4.216131210327148,185.28,None,8,140,PID,94.72,45.28,-148,0,None,39,None,22
1761047742.516802,4.417265176773071,7.120000000000005,None,83,140,PID,272.88,-132.88,-192,0,None,39,None,23
1761047742.705484,4.606176137924194,115.76,None,73,140,PID,164.24,-24.24,-226,0,None,39,None,24
1761047742.89384,4.788983106613159,232.96,None,9,140,PID,47.04000000000001,92.95999999999999,-196,0,None,39,None,25
1761047743.0758,4.975943088531494,159.4,None,8,140,PID,120.6,19.4,-165,0,None,39,None,26
1761047743.287403,5.188220024108887,130.88,None,22,140,PID,149.12,-9.119999999999999,-148,0,None,39,None,27
1761047743.475456,5.375689029693604,117.76,None,37,140,PID,162.24,-22.24,-146,0,None,39,None,28
1761047743.661348,5.558387994766235,170.52,None,20,140,PID,109.48,30.52,-127,0,None,39,None,29
1761047743.845132,5.73995304107666,71.32000000000001,None,59,140,PID,208.68,-68.67999999999999,-147,0,None,39,None,30
1761047744.033378,5.928656101226807,154.04,None,41,140,PID,125.96,14.04,-149,0,None,39,None,31
1761047744.22475,6.119719982147217,146.64,None,34,140,PID,133.36,6.640000000000001,-144,0,None,39,None,32
1761047744.432985,6.328583002090454,193.52,None,7,140,PID,86.48000000000001,53.52,-112,0,None,39,None,33
1761047744.624646,6.520090103149414,131.8,None,22,140,PID,148.2,-8.199999999999999,-95,0,None,39,None,34
1761047744.82596,6.726351022720337,60.72,None,66,140,PID,219.28,-79.28000000000001,-122,0,None,39,None,35
1761047745.005915,6.906608104705811,167.52,None,39,140,PID,112.48,27.52,-122,0,None,39,None,36
1761047745.186208,7.086800098419189,137.16,None,38,140,PID,142.84,-2.84,-121,0,None,39,None,37
1761047745.381415,7.278831005096436,197.2,None,8,140,PID,82.79999999999999,57.20000000000001,-90,0,None,39,None,38
1761047745.564895,7.459734201431274,148.16,None,15,140,PID,131.84,8.160000000000002,-66,0,None,39,None,39
1761047745.763449,7.66015100479126,45.31999999999999,None,70,140,PID,234.68,-94.68000000000002,-97,0,None,39,None,40
1761047745.955024,7.850126981735229,195.76,None,28,140,PID,84.24000000000001,55.76000000000001,-86,0,None,39,None,41
1761047746.14501,8.039273977279663,184.56,None,9,140,PID,95.44,44.56,-56,0,None,39,None,42
1761047746.336745,8.236839056015015,107.88,None,36,140,PID,172.12,-32.12,-53,0,None,39,None,43
1761047746.545923,8.445871114730835,140.4,None,36,140,PID,139.6,0.4000000000000004,-50,0,None,39,None,44
1761047746.725078,8.620882034301758,132.36,None,40,140,PID,147.64,-7.64,-51,0,None,39,None,45
1761047746.912525,8.808524131774902,143.24,None,37,140,PID,136.76,3.24,-49,0,None,39,None,46
1761047747.094268,8.989844083786011,149.92,None,32,140,PID,130.08,9.920000000000002,-42,0,None,39,None,47
1761047747.287306,9.187419176101685,113.6,None,47,140,PID,166.4,-26.4,-50,0,None,39,None,48
1761047747.477128,9.377454996109009,172.08,None,27,140,PID,107.92,32.08,-38,0,None,39,None,49
1761047747.666147,9.566444158554077,109.8,None,46,140,PID,170.2,-30.2,-45,0,None,39,None,50
1761047747.864785,9.765396118164063,167.0,None,29,140,PID,113.0,27.0,-35,0,None,39,None,51
1761047748.052196,9.948819160461426,128.64,None,38,140,PID,151.36,-11.36,-34,0,None,39,None,52
1761047748.236857,10.13815903663635,153.76,None,31,140,PID,126.24,13.76,-26,0,None,39,None,53
1761047748.44113,10.33811402320862,168.12,None,20,140,PID,111.88,28.12,-7,0,None,39,None,54
1761047748.63467,10.52992415428162,167.92,None,14,140,PID,112.08,27.92,18,0,None,39,None,55
1761047748.827171,10.72768497467041,169.88,None,10,140,PID,110.12,29.88,47,0,None,39,None,56
1761047749.032407,10.92930102348328,170.32,None,8,140,PID,109.68,30.32,78,0,None,39,None,57
1761047749.224834,11.11877608299255,169.16,None,8,140,PID,110.84,29.16,109,0,None,39,None,58
1761047749.416596,11.31734704971314,168.36,None,9,140,PID,111.64,28.36,139,0,None,39,None,59
1761047749.611955,11.50748610496521,172.8,None,8,140,PID,107.2,32.80000000000001,170,0,None,39,None,60
1761047749.802882,11.69879508018494,172.84,None,8,140,PID,107.16,32.84000000000001,201,0,None,39,None,61
1761047750.002367,11.89852714538574,178.16,None,6,140,PID,101.84,38.16000000000001,234,0,None,39,None,62
1761047750.193766,12.08895802497864,168.92,None,10,140,PID,111.08,28.92,263,0,None,39,None,63
1761047750.38687,12.28029298782349,172.84,None,11,140,PID,107.16,32.84000000000001,291,0,None,39,None,64
1761047750.601805,12.49809908866882,169.04,None,14,140,PID,110.96,29.04,316,0,None,39,None,65
1761047750.796778,12.69694900512695,165.48,None,18,140,PID,114.52,25.48,337,0,None,39,None,66
1761047751.002161,12.89742708206177,185.4,None,11,140,PID,94.59999999999999,45.4,365,0,None,39,None,67
1761047751.196435,13.09724020957947,178.12,None,11,140,PID,101.88,38.12000000000001,393,0,None,39,None,68
1761047751.392283,13.28845500946045,185.36,None,8,140,PID,94.63999999999999,45.36,424,0,None,39,None,69
1761047751.576871,13.47772216796875,185.04,None,7,140,PID,94.96,45.04,456,0,None,39,None,70
1761047751.778271,13.67857098579407,183.08,None,8,140,PID,96.92,43.08,487,0,None,39,None,71
1761047751.982251,13.87866806983948,185.52,None,8,140,PID,94.48,45.52,518,0,None,39,None,72
1761047752.186257,14.08615303039551,186.76,None,8,140,PID,93.24,46.76000000000001,549,0,None,39,None,73
1761047752.379417,14.27983498573303,188.0,None,8,140,PID,92.00000000000001,48.00000000000001,580,0,None,39,None,74
1761047752.584212,14.47991013526917,191.28,None,7,140,PID,88.72,51.28,612,0,None,39,None,75
1761047752.786553,14.68694519996643,191.36,None,7,140,PID,88.64000000000001,51.36,644,0,None,39,None,76
1761047752.991044,14.88729906082153,66.16000000000001,None,69,140,PID,213.84,-73.83999999999999,614,0,None,39,None,77
1761047753.190566,15.08744812011719,135.28,None,71,140,PID,144.72,-4.720000000000001,582,0,None,39,None,78
1761047753.367138,15.26778817176819,136.4,None,71,140,PID,143.6,-3.600000000000001,550,0,None,39,None,79
1761047753.563825,15.46415114402771,131.04,None,73,140,PID,148.96,-8.960000000000003,516,0,None,39,None,80
1761047753.746054,15.64688515663147,130.04,None,74,140,PID,149.96,-9.959999999999997,481,0,None,39,None,81
1761047753.92522,15.82621002197266,123.72,None,77,140,PID,156.28,-16.28,443,0,None,39,None,82
1761047754.112013,16.01283216476441,127.84,None,76,140,PID,152.16,-12.16,406,0,None,39,None,83
1761047754.296506,16.19741320610046,133.32,None,72,140,PID,146.68,-6.680000000000002,373,0,None,39,None,84
1761047754.475047,16.37565612792969,119.04,None,76,140,PID,160.96,-20.96000000000001,336,0,None,39,None,85
1761047754.653315,16.55010104179382,142.76,None,66,140,PID,137.24,2.759999999999998,309,0,None,39,None,86
1761047754.844594,16.74006104469299,235.76,None,14,140,PID,44.24000000000001,95.75999999999999,334,0,None,39,None,87
1761047755.041764,16.93893098831177,188.64,None,7,140,PID,91.36000000000001,48.64000000000001,366,0,None,39,None,88
1761047755.226671,17.12787103652954,179.48,None,8,140,PID,100.52,39.48,397,0,None,39,None,89
1761047755.421432,17.31843209266663,181.92,None,8,140,PID,98.08,41.92,428,0,None,39,None,90
1761047755.607397,17.50825500488281,185.2,None,7,140,PID,94.8,45.2,460,0,None,39,None,91
1761047755.805377,17.70037412643433,183.24,None,8,140,PID,96.76000000000002,43.24,491,0,None,39,None,92
1761047756.002462,17.89874315261841,187.72,None,7,140,PID,92.28,47.72000000000001,523,0,None,39,None,93
1761047756.192428,18.08772516250611,185.76,None,8,140,PID,94.24000000000001,45.76,554,0,None,39,None,94
1761047756.394209,18.29010009765625,190.24,None,7,140,PID,89.75999999999999,50.24000000000001,586,0,None,39,None,95
1761047756.602296,18.49766898155212,188.28,None,8,140,PID,91.72000000000001,48.28,617,0,None,39,None,96
1761047756.801294,18.6977391242981,192.76,None,7,140,PID,87.24,52.76000000000001,649,0,None,39,None,97
1761047757.001011,18.89767217636108,188.76,None,9,140,PID,91.24000000000001,48.76,679,0,None,39,None,98
1761047757.203878,19.10067510604859,194.4,None,8,140,PID,85.6,54.40000000000001,710,0,None,39,None,99
1761047757.403817,19.30409502983093,191.16,None,9,140,PID,88.84,51.16,709,0,None,39,None,100
1761047757.60745,19.50096011161804,183.28,None,14,140,PID,96.72000000000001,43.28,732,0,None,39,None,101
1761047757.814787,19.70998001098633,82.08,None,68,140,PID,197.92,-57.92000000000001,752,0,None,39,None,102
1761047758.013346,19.91017508506775,112.12,None,84,140,PID,167.88,-27.88,683,0,None,39,None,103
1761047758.196788,20.09747815132141,154.76,None,71,140,PID,125.24,14.76,619,0,None,39,None,104
